metric_id,category,catalogue_status,dashboard_alignment_status,cube_view,cube_measure,measure_present_in_serve_view,dashboard_recon_verdict,catalogue_path
active_orders,commerce,draft,not_implemented,commerce_orders,commerce_orders.active_orders,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\active_orders.yaml
add_to_cart_events,web_analytics,certified,not_implemented,web_events_daily,web_events_daily.add_to_cart_events,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\add_to_cart_events.yaml
amazon_ads_clicks,paid_media,certified,match,amazon_ad_performance,amazon_ad_performance.amazon_ads_clicks,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\amazon_ads_clicks.yaml
amazon_ads_cpc,paid_media,certified,match,amazon_ad_performance,amazon_ad_performance.amazon_ads_cpc,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\amazon_ads_cpc.yaml
amazon_ads_cpm,paid_media,certified,match,amazon_ad_performance,amazon_ad_performance.amazon_ads_cpm,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\amazon_ads_cpm.yaml
amazon_ads_ctr,paid_media,certified,drift_corrected,amazon_ad_performance,amazon_ad_performance.amazon_ads_ctr,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\amazon_ads_ctr.yaml
amazon_ads_impressions,paid_media,certified,match,amazon_ad_performance,amazon_ad_performance.amazon_ads_impressions,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\amazon_ads_impressions.yaml
amazon_ads_spend,paid_media,certified,match,amazon_ad_performance,amazon_ad_performance.amazon_ads_spend,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\amazon_ads_spend.yaml
amazon_cancelled_orders,commerce,certified,match,amazon_commerce_performance,amazon_commerce_performance.cancelled_orders,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\amazon_cancelled_orders.yaml
amazon_gross_revenue,commerce,certified,match,amazon_commerce_performance,amazon_commerce_performance.gross_revenue,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\amazon_gross_revenue.yaml
amazon_gross_sales,commerce,certified,match,sales_all_channels,sales_all_channels.amazon_gross_sales,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\amazon_gross_sales.yaml
amazon_marketplace_fees,commerce,draft,unclear,amazon_commerce_performance,amazon_commerce_performance.marketplace_fees,yes,unclear,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\amazon_marketplace_fees.yaml
amazon_net_payout,commerce,certified,match,amazon_commerce_performance,amazon_commerce_performance.marketplace_net_payout,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\amazon_net_payout.yaml
amazon_net_sales,commerce,certified,drift_corrected,sales_all_channels,sales_all_channels.amazon_net_sales,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\amazon_net_sales.yaml
amazon_orders,commerce,certified,match,orders_all_channels,orders_all_channels.amazon_orders,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\amazon_orders.yaml
amazon_platform_fees,finance,certified,drift_corrected,amazon_daily_pnl,amazon_daily_pnl.marketplace_fees,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\amazon_platform_fees.yaml
amazon_return_revenue,commerce,certified,drift_corrected,amazon_commerce_performance,amazon_commerce_performance.returned_revenue,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\amazon_return_revenue.yaml
